Date,Company,Final Score,Article URL,Sentiment Score,Positive Mentions,Negative Mentions
2025-01-20,台積電,0.0,https://tw.stock.yahoo.com/news/%E5%B7%9D%E6%99%AE%E8%AE%93%E8%82%A1%E5%8C%AF%E4%B8%80%E8%B5%B7%E9%A3%86%EF%BC%81%E6%96%B0%E5%8F%B0%E5%B9%A3%E7%8B%82%E5%8D%87%E9%80%BE1%E8%A7%92%E9%87%8D%E8%BF%94327%E9%97%9C%E5%8D%A1%E3%80%81%E7%99%BB2%E5%91%A8%E6%9C%80%E9%AB%98-032936833.html,0,0,0
2025-01-20,台積電,0.0,https://tw.stock.yahoo.com/news/%E9%80%99%E6%AA%94-%E4%BB%8A%E5%B9%B4%E6%BC%B23%E6%88%90-%E5%99%B4%E5%B0%84%E6%BC%B2%E5%81%9C-%E5%8A%9B%E7%A9%8D%E9%9B%BB-%E7%B4%85%E7%87%88-041500750.html,0,0,1
2025-01-20,台積電,0.0,https://tw.stock.yahoo.com/news/%E5%8A%9B%E7%A9%8D%E9%9B%BB%E8%B7%B3%E7%A9%BA%E6%BC%B2%E5%81%9C%EF%BC%81%E7%B6%B2%E5%97%A8%E3%80%8C%E9%BB%83%E8%91%A3%E5%B9%B4%E5%89%8D%E7%99%BC%E7%B4%85%E5%8C%85%E3%80%8D-%E5%B0%88%E5%AE%B6%E7%B1%B2%E7%95%99%E6%84%8F1%E9%97%9C%E9%8D%B5-022917117.html,0,0,1
2025-01-20,台積電,0.0,https://tw.news.yahoo.com/%E6%8B%9C%E7%99%BB%E6%9C%80%E6%96%B0%E6%99%B6%E7%89%87%E7%AE%A1%E5%88%B6-%E7%BE%8E%E5%86%8D%E4%B8%8B%E9%87%8D%E6%89%8B%E9%99%90%E5%88%B6%E5%A4%9A-035840399.html,0,0,1
2025-01-20,台積電,0.0,https://tw.stock.yahoo.com/news/%E5%B7%9D%E6%99%AE%E8%AE%93%E8%82%A1%E5%8C%AF%E4%B8%80%E8%B5%B7%E9%A3%86%EF%BC%81%E6%96%B0%E5%8F%B0%E5%B9%A3%E7%8B%82%E5%8D%87%E9%80%BE1%E8%A7%92%E9%87%8D%E8%BF%94327%E9%97%9C%E5%8D%A1%E3%80%81%E7%99%BB2%E5%91%A8%E6%9C%80%E9%AB%98-032936833.html,0,0,1
2025-01-20,台積電,0.0,https://tw.news.yahoo.com/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E5%86%8D%E7%A0%B8%E9%87%8D%E9%87%91-%E5%8D%97%E7%A7%91%E4%B8%89%E6%9C%9F%E5%85%A9%E5%BA%A7cowos%E5%BB%A0-%E6%8A%95%E8%B3%87%E9%80%BE2000%E5%84%84%E5%85%83-035934534.html,0,0,1
2025-01-20,台積電,0.0,https://tw.news.yahoo.com/%E8%9B%87%E5%B9%B4%E6%8F%9B%E6%96%B0%E9%88%94%E8%B5%B7%E8%B7%91-%E5%8F%B0%E9%8A%80-%E6%97%A9%E5%87%BA%E7%8F%BE%E6%8F%9B%E9%88%94%E4%BA%BA%E6%BD%AE-044603536.html,0,5,1
2025-01-20,台積電,0.0,https://tw.news.yahoo.com/%E5%B0%81%E9%97%9C%E5%80%92%E6%95%B8-%E5%8F%B0%E8%82%A1%E5%86%8D%E6%BC%B2%E9%80%BE%E7%99%BE%E9%BB%9E-%E6%8A%B1%E8%82%A1%E9%81%8E%E5%B9%B4%E6%87%89%E6%85%8E%E9%81%B8-035807917.html,0,7,1
2025-01-20,台積電,0.0,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BB15%E5%84%84%E7%BE%8E%E5%85%83%E8%A3%9C%E5%8A%A9%E6%AC%BE%E5%B7%B2%E5%85%A5%E8%A2%8B-%E5%B7%9D%E6%99%AE%E6%98%94%E5%96%8A%E5%8F%B0-%E7%AB%8A%E5%8F%96-%E7%BE%8E%E6%99%B6%E7%89%87%E6%A5%AD%E5%8B%99-%E8%B2%A1%E5%8B%99%E9%95%B7-044500226.html,0,9,1
2025-01-20,台積電,0.0,https://tw.stock.yahoo.com/news/%E3%80%90yahoo%E6%97%A9%E7%9B%A4%E3%80%91%E5%B7%9D%E6%99%AE%E4%B8%8A%E4%BB%BB%E5%9C%A8%E5%8D%B3-%E5%8F%B0%E8%82%A1%E4%B8%8A%E6%BC%B2%E7%99%BE%E9%BB%9E%EF%BC%81%E5%88%86%E6%9E%90%E5%B8%AB%E9%BB%83%E7%B4%AB%E6%9D%B1%EF%BC%9A%E8%B3%87%E9%87%91%E8%BD%89%E5%90%91%E6%B6%88%E8%B2%BB%E6%97%8F%E7%BE%A4-014806539.html,0,9,2
